deceptive,hotel,,,
truthful,conrad,,,
truthful,hyatt,,,
truthful,hyatt,,,
truthful,omni,,,
truthful,hyatt,,,
truthful,omni,,,
truthful,conrad,,,
truthful,omni,,,
truthful,omni,,,
truthful,hyatt,,,
truthful,fairmont,,,
truthful,conrad,,,
truthful,hyatt,,,
truthful,conrad,,,
truthful,hyatt,,,
truthful,conrad,,,
truthful,conrad,,,
truthful,conrad,,,
truthful,conrad,,,
truthful,omni,,,
truthful,fairmont,,,
truthful,fairmont,,,
truthful,fairmont,,,
truthful,hyatt,,,
truthful,hyatt,,,
truthful,conrad,,,
truthful,fairmont,,,
truthful,conrad,,,
truthful,conrad,,,
truthful,hyatt,,,
truthful,omni,,,
truthful,omni,,,
truthful,hyatt,,,
truthful,omni,,,
truthful,fairmont,,,
truthful,fairmont,,,
truthful,hyatt,,,
truthful,conrad,,,
truthful,fairmont,,,
truthful,omni,,,
truthful,fairmont,,,
truthful,hyatt,,,
truthful,hyatt,,,
truthful,conrad,,,
truthful,hyatt,,,
truthful,fairmont,,,
truthful,hyatt,,,
truthful,omni,,,
truthful,fairmont,,,
truthful,fairmont,,,
truthful,fairmont,,,
truthful,fairmont,,,
truthful,omni,,,
truthful,omni,,,
truthful,conrad,,,
truthful,omni,,,
truthful,hyatt,,,
truthful,conrad,,,
truthful,hyatt,,,
truthful,omni,,,
truthful,omni,,,
truthful,fairmont,,,
truthful,omni,,,
truthful,omni,,,
truthful,conrad,,,
truthful,hyatt,,,
truthful,fairmont,,,
truthful,conrad,,,
truthful,fairmont,,,
truthful,conrad,,,
truthful,conrad,,,
truthful,omni,,,
truthful,fairmont,,,
truthful,hyatt,,,
truthful,fairmont,,,
truthful,fairmont,,,
truthful,omni,,,
truthful,omni,,,
truthful,hyatt,,,
truthful,conrad,,,
truthful,sheraton,,,
truthful,sheraton,,,
truthful,knickerbocker,,,
truthful,homewood,,,
truthful,homewood,,,
truthful,swissotel,,,
truthful,swissotel,,,
truthful,swissotel,,,
truthful,homewood,,,
truthful,swissotel,,,
truthful,homewood,,,
truthful,knickerbocker,,,
truthful,sheraton,,,
truthful,swissotel,,,
truthful,sheraton,,,
truthful,homewood,,,
truthful,swissotel,,,
